disease_id,outcome,income,sex,age_group,rel_year,estimate,ci_low,ci_high,p_value,n
1,80,Low,Female,65-75,-3,-243.7429809570313,-798.63672,311.15073,.38926509,628
1,80,Low,Female,65-75,-4,426.2073669433594,-321.04489,1173.4596,.2636022,628
1,80,Low,Female,65-75,-5,0,0,0,,628
1,80,Medium,Female,65-75,0,11023.0615234375,9002.5947,13043.528,1.0955991e-26,628
1,80,Medium,Female,65-75,1,6558.404296875,4638.8916,8477.917,2.1312341e-11,628
1,80,Medium,Female,65-75,2,6506.4921875,3994.4167,9018.5674,3.8431097e-07,628
1,80,Medium,Female,65-75,3,5897.84912109375,2744.0757,9051.623,.00024696978,628
1,80,Medium,Female,65-75,4,5822.19970703125,2180.3743,9464.0254,.0017275895,628
1,80,Medium,Female,65-75,5,5702.41015625,1345.1957,10059.625,.010314382,628
1,80,Medium,Female,65-75,-1,750.9902954101563,-76.739929,1578.7206,.075356916,628
1,80,Medium,Female,65-75,-2,0,0,0,,628
1,80,Medium,Female,65-75,-3,-243.7429809570313,-798.63672,311.15073,.38926509,628
1,80,Medium,Female,65-75,-4,426.2073669433594,-321.04489,1173.4596,.2636022,628
1,80,Medium,Female,65-75,-5,0,0,0,,628
